66.42423,14.6841,-2.4854,0.001005
70.509,18.659,-3.202,0.001
73.80727,20.8293,-3.0427,0.001061
76.048,20.947,-2.266,0.001
80.18502,24.9146,-2.1935,0.001066
82.142,25.574,-1.539,0.001
86.08678,30.3456,-1.015,0.000979
89.597,34.194,0.659,0.001
93.30749,34.632,1.5373,0.000975
99.193,46.894,2.075,0.001
99.21894,42.4013,1.8114,0.00094
103.955,44.618,4.749,0.001
106.8271,44.0186,4.4297,0.000955
82.62489,10.0325,-0.948,0.00171
89.671,13.103,-1.137,0.002
92.57247,14.636,-2.0528,0.00184
96.094,13.778,-0.883,0.002
100.9764,15.4419,-1.1463,0.001862
104.641,16.862,-1.167,0.002
107.6698,16.2648,0.0147,0.001757
112.336,18.988,0.347,0.002
116.7509,19.769,0.8829,0.001781
123.682,23.995,0.803,0.002
124.9097,23.2383,0.6689,0.001786
131.65,25.338,2.855,0.002
133.7068,23.4478,2.1025,0.001745
90.11057,15.0811,-2.9403,0.001996
96.319,15.711,-1.211,0.002
99.24053,16.7439,-1.3311,0.002061
104.614,17.627,-0.72,0.002
108.17,18.4378,-0.3199,0.002052
112.398,18.6,0.457,0.002
116.265,19.8185,1.0941,0.002007
119.882,20.825,2.214,0.002
124.22,22.2806,2.0886,0.001976
128.224,23.197,2.499,0.002
132.0051,23.2079,2.5848,0.001922
137.118,24.291,3.831,0.002
140.4548,22.7483,3.7764,0.001831
